"","Datum","Provincienaam","Provinciecode","Type","Aantal","AantalCumulatief"
"1",2020-02-27,"Drenthe",22,"Totaal",NA,0
"2",2020-02-28,"Drenthe",22,"Totaal",0,0
"3",2020-02-29,"Drenthe",22,"Totaal",0,0
"4",2020-03-01,"Drenthe",22,"Totaal",1,1
"5",2020-03-02,"Drenthe",22,"Totaal",0,1
"6",2020-03-03,"Drenthe",22,"Totaal",1,2
"7",2020-03-04,"Drenthe",22,"Totaal",0,2
"8",2020-03-05,"Drenthe",22,"Totaal",1,3
"9",2020-03-06,"Drenthe",22,"Totaal",0,3
"10",2020-03-07,"Drenthe",22,"Totaal",0,3
"11",2020-03-08,"Drenthe",22,"Totaal",5,8
"12",2020-03-09,"Drenthe",22,"Totaal",2,10
"13",2020-03-10,"Drenthe",22,"Totaal",2,12
"14",2020-03-11,"Drenthe",22,"Totaal",0,12
"15",2020-03-12,"Drenthe",22,"Totaal",1,13
"16",2020-03-13,"Drenthe",22,"Totaal",0,13
"17",2020-03-14,"Drenthe",22,"Totaal",2,15
"18",2020-03-15,"Drenthe",22,"Totaal",0,15
"19",2020-03-16,"Drenthe",22,"Totaal",1,16
"20",2020-03-17,"Drenthe",22,"Totaal",1,17
"21",2020-03-18,"Drenthe",22,"Totaal",5,22
"22",2020-03-19,"Drenthe",22,"Totaal",3,25
"23",2020-03-20,"Drenthe",22,"Totaal",12,37
"24",2020-03-21,"Drenthe",22,"Totaal",1,38
"25",2020-03-22,"Drenthe",22,"Totaal",4,42
"26",2020-03-23,"Drenthe",22,"Totaal",7,49
"27",2020-03-24,"Drenthe",22,"Totaal",6,55
"28",2020-03-25,"Drenthe",22,"Totaal",5,60
"29",2020-03-26,"Drenthe",22,"Totaal",11,71
"30",2020-03-27,"Drenthe",22,"Totaal",8,79
"31",2020-03-28,"Drenthe",22,"Totaal",18,97
"32",2020-03-29,"Drenthe",22,"Totaal",15,112
"33",2020-03-30,"Drenthe",22,"Totaal",4,116
"34",2020-03-31,"Drenthe",22,"Totaal",7,123
"35",2020-04-01,"Drenthe",22,"Totaal",19,142
"36",2020-04-02,"Drenthe",22,"Totaal",15,157
"37",2020-04-03,"Drenthe",22,"Totaal",13,170
"38",2020-04-04,"Drenthe",22,"Totaal",22,192
"39",2020-04-05,"Drenthe",22,"Totaal",15,207
"40",2020-04-06,"Drenthe",22,"Totaal",8,215
"41",2020-04-07,"Drenthe",22,"Totaal",4,219
"42",2020-04-08,"Drenthe",22,"Totaal",13,232
"43",2020-04-09,"Drenthe",22,"Totaal",17,249
"44",2020-04-10,"Drenthe",22,"Totaal",17,266
"45",2020-04-11,"Drenthe",22,"Totaal",23,289
"46",2020-04-12,"Drenthe",22,"Totaal",15,304
"47",2020-04-13,"Drenthe",22,"Totaal",9,313
"48",2020-04-14,"Drenthe",22,"Totaal",6,319
"49",2020-04-15,"Drenthe",22,"Totaal",6,325
"50",2020-04-16,"Drenthe",22,"Totaal",15,340
"51",2020-04-17,"Drenthe",22,"Totaal",15,355
"52",2020-04-18,"Drenthe",22,"Totaal",18,373
"53",2020-04-19,"Drenthe",22,"Totaal",12,385
"54",2020-04-20,"Drenthe",22,"Totaal",9,394
"55",2020-04-21,"Drenthe",22,"Totaal",6,400
"56",2020-04-22,"Drenthe",22,"Totaal",5,405
"57",2020-04-23,"Drenthe",22,"Totaal",16,421
"58",2020-04-24,"Drenthe",22,"Totaal",16,437
"59",2020-04-25,"Drenthe",22,"Totaal",12,449
"60",2020-04-26,"Drenthe",22,"Totaal",0,449
"61",2020-04-27,"Drenthe",22,"Totaal",12,461
"62",2020-04-28,"Drenthe",22,"Totaal",0,461
"63",2020-04-29,"Drenthe",22,"Totaal",6,467
"64",2020-04-30,"Drenthe",22,"Totaal",6,473
"65",2020-05-01,"Drenthe",22,"Totaal",2,475
"66",2020-05-02,"Drenthe",22,"Totaal",6,481
"67",2020-05-03,"Drenthe",22,"Totaal",0,481
"68",2020-05-04,"Drenthe",22,"Totaal",4,485
"69",2020-05-05,"Drenthe",22,"Totaal",4,489
"70",2020-05-06,"Drenthe",22,"Totaal",2,491
"71",2020-05-07,"Drenthe",22,"Totaal",0,491
"72",2020-05-08,"Drenthe",22,"Totaal",1,492
"73",2020-05-09,"Drenthe",22,"Totaal",1,493
"74",2020-05-10,"Drenthe",22,"Totaal",1,494
"75",2020-05-11,"Drenthe",22,"Totaal",1,495
"76",2020-05-12,"Drenthe",22,"Totaal",1,496
"77",2020-05-13,"Drenthe",22,"Totaal",1,497
"78",2020-05-14,"Drenthe",22,"Totaal",0,497
"79",2020-05-15,"Drenthe",22,"Totaal",1,498
"80",2020-05-16,"Drenthe",22,"Totaal",0,498
"81",2020-05-17,"Drenthe",22,"Totaal",0,498
"82",2020-05-18,"Drenthe",22,"Totaal",1,499
"83",2020-05-19,"Drenthe",22,"Totaal",0,499
"84",2020-05-20,"Drenthe",22,"Totaal",2,501
"85",2020-05-21,"Drenthe",22,"Totaal",0,501
"86",2020-05-22,"Drenthe",22,"Totaal",2,503
"87",2020-05-23,"Drenthe",22,"Totaal",3,506
"88",2020-05-24,"Drenthe",22,"Totaal",0,506
"89",2020-05-25,"Drenthe",22,"Totaal",1,507
"90",2020-05-26,"Drenthe",22,"Totaal",0,507
"91",2020-05-27,"Drenthe",22,"Totaal",0,507
"92",2020-05-28,"Drenthe",22,"Totaal",0,507
"93",2020-05-29,"Drenthe",22,"Totaal",0,507
"94",2020-05-30,"Drenthe",22,"Totaal",0,507
"95",2020-05-31,"Drenthe",22,"Totaal",4,511
"96",2020-06-01,"Drenthe",22,"Totaal",0,511
"97",2020-06-02,"Drenthe",22,"Totaal",2,513
"98",2020-06-03,"Drenthe",22,"Totaal",0,513
