"","country_region","Date","cumulative_cases","cumulative_deaths","incident_cases","incident_deaths","pop2020","cases_per_100k","deaths_per_100k","inc_deaths_per_100k","days_after_onset"
"1","Albania",2020-03-10,10,0,8,0,2877.797,0.347488026431329,0,0,1
"2","Albania",2020-03-11,12,1,2,1,2877.797,0.416985631717595,0.0347488026431329,0.0347488026431329,2
"3","Albania",2020-03-12,23,1,11,0,2877.797,0.799222460792057,0.0347488026431329,0,3
"4","Albania",2020-03-13,33,1,10,0,2877.797,1.14671048722339,0.0347488026431329,0,4
"5","Albania",2020-03-14,38,1,5,0,2877.797,1.32045450043905,0.0347488026431329,0,5
"6","Albania",2020-03-15,42,1,4,0,2877.797,1.45944971101158,0.0347488026431329,0,6
"7","Albania",2020-03-16,51,1,9,0,2877.797,1.77218893479978,0.0347488026431329,0,7
"8","Albania",2020-03-17,55,1,4,0,2877.797,1.91118414537231,0.0347488026431329,0,8
"9","Albania",2020-03-18,59,2,4,1,2877.797,2.05017935594484,0.0694976052862658,0.0347488026431329,9
"10","Albania",2020-03-19,64,2,5,0,2877.797,2.22392336916051,0.0694976052862658,0,10
"11","Albania",2020-03-20,70,2,6,0,2877.797,2.4324161850193,0.0694976052862658,0,11
"12","Albania",2020-03-21,76,2,6,0,2877.797,2.6409090008781,0.0694976052862658,0,12
"13","Albania",2020-03-22,89,2,13,0,2877.797,3.09264343523883,0.0694976052862658,0,13
"14","Albania",2020-03-23,104,4,15,2,2877.797,3.61387547488582,0.138995210572532,0.0694976052862658,14
"15","Albania",2020-03-24,123,5,19,1,2877.797,4.27410272510535,0.173744013215665,0.0347488026431329,15
"16","Albania",2020-03-25,146,5,23,0,2877.797,5.07332518589741,0.173744013215665,0,16
"17","Albania",2020-03-26,174,6,28,1,2877.797,6.04629165990513,0.208492815858798,0.0347488026431329,17
"18","Albania",2020-03-27,186,8,12,2,2877.797,6.46327729162272,0.277990421145063,0.0694976052862658,18
"19","Albania",2020-03-28,197,10,11,2,2877.797,6.84551412069719,0.347488026431329,0.0694976052862658,19
"20","Albania",2020-03-29,212,10,15,0,2877.797,7.36674616034418,0.347488026431329,0,20
"21","Austria",2020-03-01,14,0,5,0,9006.398,0.155445051395686,0,0,1
"22","Austria",2020-03-02,18,0,4,0,9006.398,0.199857923223024,0,0,2
"23","Austria",2020-03-03,21,0,3,0,9006.398,0.233167577093528,0,0,3
"24","Austria",2020-03-04,29,0,8,0,9006.398,0.321993320748206,0,0,4
"25","Austria",2020-03-05,41,0,12,0,9006.398,0.455231936230222,0,0,5
"26","Austria",2020-03-06,55,0,14,0,9006.398,0.610676987625908,0,0,6
"27","Austria",2020-03-07,79,0,24,0,9006.398,0.87715421858994,0,0,7
"28","Austria",2020-03-08,104,0,25,0,9006.398,1.15473466751081,0,0,8
"29","Austria",2020-03-09,131,0,27,0,9006.398,1.45452155234534,0,0,9
"30","Austria",2020-03-10,182,0,51,0,9006.398,2.02078566814391,0,0,10
"31","Austria",2020-03-11,246,0,64,0,9006.398,2.73139161738133,0,0,11
"32","Austria",2020-03-12,302,1,56,1,9006.398,3.35317182296408,0.0111032179568347,0.0111032179568347,12
"33","Austria",2020-03-13,504,1,202,0,9006.398,5.59602185024468,0.0111032179568347,0,13
"34","Austria",2020-03-14,655,1,151,0,9006.398,7.27260776172672,0.0111032179568347,0,14
"35","Austria",2020-03-15,860,1,205,0,9006.398,9.54876744287783,0.0111032179568347,0,15
"36","Austria",2020-03-16,1018,3,158,2,9006.398,11.3030758800577,0.0333096538705041,0.0222064359136694,16
"37","Austria",2020-03-17,1332,3,314,0,9006.398,14.7894863185038,0.0333096538705041,0,17
"38","Austria",2020-03-18,1646,4,314,1,9006.398,18.2758967569499,0.0444128718273387,0.0111032179568347,18
"39","Austria",2020-03-19,2013,6,367,2,9006.398,22.3507777471082,0.0666193077410081,0.0222064359136694,19
"40","Austria",2020-03-20,2388,6,375,0,9006.398,26.5144844809212,0.0666193077410081,0,20
"41","Austria",2020-03-21,2814,8,426,2,9006.398,31.2444553305328,0.0888257436546775,0.0222064359136694,21
"42","Austria",2020-03-22,3582,16,768,8,9006.398,39.7717267213819,0.177651487309355,0.0888257436546775,22
"43","Austria",2020-03-23,4474,21,892,5,9006.398,49.6757971388784,0.233167577093528,0.0555160897841734,23
"44","Austria",2020-03-24,5283,28,809,7,9006.398,58.6583004659576,0.310890102791371,0.0777225256978428,24
"45","Austria",2020-03-25,5588,30,305,2,9006.398,62.0447819427922,0.333096538705041,0.0222064359136694,25
"46","Austria",2020-03-26,6909,49,1321,19,9006.398,76.7121328637708,0.5440576798849,0.210961141179859,26
"47","Austria",2020-03-27,7657,58,748,9,9006.398,85.0173398954832,0.643986641496412,0.0999289616115122,27
"48","Austria",2020-03-28,8271,68,614,10,9006.398,91.8347157209797,0.755018821064759,0.111032179568347,28
"49","Austria",2020-03-29,8788,86,517,18,9006.398,97.5750794046632,0.954876744287783,0.199857923223024,29
"50","Bosnia and Herzegovina",2020-03-10,5,0,2,0,3280.819,0.152400970611302,0,0,1
"51","Bosnia and Herzegovina",2020-03-11,7,0,2,0,3280.819,0.213361358855822,0,0,2
"52","Bosnia and Herzegovina",2020-03-12,11,0,4,0,3280.819,0.335282135344864,0,0,3
"53","Bosnia and Herzegovina",2020-03-13,13,0,2,0,3280.819,0.396242523589384,0,0,4
"54","Bosnia and Herzegovina",2020-03-14,18,0,5,0,3280.819,0.548643494200686,0,0,5
"55","Bosnia and Herzegovina",2020-03-15,24,0,6,0,3280.819,0.731524658934248,0,0,6
"56","Bosnia and Herzegovina",2020-03-16,25,0,1,0,3280.819,0.762004853056508,0,0,7
"57","Bosnia and Herzegovina",2020-03-17,26,0,1,0,3280.819,0.792485047178768,0,0,8
"58","Bosnia and Herzegovina",2020-03-18,38,0,12,0,3280.819,1.15824737664589,0,0,9
"59","Bosnia and Herzegovina",2020-03-19,63,0,25,0,3280.819,1.9202522297024,0,0,10
"60","Bosnia and Herzegovina",2020-03-20,89,0,26,0,3280.819,2.71273727688117,0,0,11
"61","Bosnia and Herzegovina",2020-03-21,93,1,4,1,3280.819,2.83465805337021,0.0304801941222603,0.0304801941222603,12
"62","Bosnia and Herzegovina",2020-03-22,126,1,33,0,3280.819,3.8405044594048,0.0304801941222603,0,13
